Site,Distance from estuary mouth,Depth from (m),Depth to (m),AVERAGE depth,AVS (%S),CRS (%S),Net Acidity (mol H+/t),Organic C (%),Total N (%),ALUMINIUM (mg/kg),ARSENIC (mg/kg),CHROMIUM (mg/kg),COPPER (mg/kg),IRON (mg/kg),MANGANESE (mg/kg),NICKEL (mg/kg),ZINC (mg/kg),BORON (mg/kg),COBALT (mg/kg),BARIUM (mg/kg),CALCIUM (mg/kg),MAGNESIUM (mg/kg),POTASSIUM (mg/kg),SODIUM (mg/kg),CHLORIDE (mg/kg),SULFUR (mg/kg)
MSC22,22,0.8,1.2,1,0,0,52.41,1.58,0.078,1.51,0.003,0.007,0.015,0.561,0.217,0.014,0.032,1,0.007,0.122,166.435,104.971,41.925,710.822,1042.993,264.521
MSC23,23,0,0.2,0.1,0,0,124.57,9.45,0.43,14.932,0.008,0.011,0.028,44.683,5.342,0.132,0.386,1.208,0.136,0.177,485.437,304.272,75.693,1227.418,1927.019,755.534
MSC23,23,0.2,0.5,0.35,0,0,234.45,7.16,0.355,50.67,0.011,0.012,0.019,53.933,2.853,0.334,0.639,1.076,0.106,0.163,439.523,268.188,61.319,1375.772,2339.686,692.813
MSC23,23,0.5,0.95,0.725,0,0.06,331.82,11,0.443,184.148,0.016,0.019,0.01,76.781,3.717,0.54,1.066,1.061,0.256,0.167,522.956,296.797,56.802,1487.766,2458.874,1010.624
MSC23,23,0.95,1,0.975,0,0.05,290.89,16.9,0.627,564.808,0.066,0.036,0.02,283.839,5.501,1.397,2.84,1.547,1.435,0.286,896.554,375.823,62.983,1751.034,2849.383,2188.946
MSC23,23,1,1.35,1.175,0,0,145.26,21.1,0.624,21.755,0.01,0.011,0.025,27.387,12.667,0.109,0.286,1.636,0.07,0.35,1690.102,611.536,86.845,1950.841,3086.653,1992.6
MSC24,24,0,0.5,0.25,0,0,438.21,30.4,1.14,94.986,0.015,0.024,0.057,200.473,21.935,0.22,1.573,2.896,0.218,0.359,1309.88,904.615,237.396,3601.985,6405.44,1906.185
MSC24,24,0.5,0.7,0.6,0,0,356.02,13,0.606,107.67,0.019,0.026,0.041,187.797,7.498,0.367,0.715,1.758,0.153,0.198,701.475,445.895,103.53,2182.235,3662.484,1208.365
MSC24,24,0.7,1.2,0.95,0,0.07,432.02,18.2,0.841,246.031,0.032,0.033,0.043,138.567,9.014,0.545,1.292,1.862,0.231,0.246,1067.717,692.309,132.834,3609.191,6154.514,1724.72
MSC25,25,0,0.05,0.025,0,0,390.61,31.5,0.954,49.825,0.006,0.009,0.05,52.383,7.954,0.103,1.094,1.269,0.061,0.444,133.498,105.804,175.066,432.659,1664.785,224.68
